State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Lat,Long,Population_Size,Population_Density,Pop In Poverty,Pop In Poverty %,White Pop,White Pop%,Black Pop,Black Pop%,Native_American Pop,Native_American Pop%,Asian Pop,Asian Pop %,Hispanic Pop,Hispanic Pop%,Obesity Pop,Obesity Pop %
02,122,Kenai Peninsula,Alaska,AK,61.1869,-149.3524,51960,3,5144,9.9%,45465,87.5%,312,0.6%,4001,7.7%,675,1.3%,1403,2.7%,NA,NA
02,130,Ketchikan Gateway,Alaska,AK,55.9317,-131.5653,13262,11,1074,8.1%,9827,74.1%,133,1.0%,2095,15.8%,703,5.3%,385,2.9%,NA,NA
02,150,Kodiak Island,Alaska,AK,58.4922,-152.2743,13051,2,1135,8.7%,8105,62.1%,157,1.2%,2049,15.7%,2284,17.5%,874,6.7%,NA,NA
02,164,Lake and Peninsula,Alaska,AK,60.1688,-154.1236,1570,0,261,16.6%,367,23.4%,0,0.0%,1123,71.5%,13,0.8%,20,1.3%,NA,NA
02,170,Matanuska-Susitna,Alaska,AK,63.1628,-146.5625,76006,3,7981,10.5%,67113,88.3%,836,1.1%,4332,5.7%,760,1.0%,2128,2.8%,NA,NA
02,180,Nome,Alaska,AK,66.2372,-160.786,9328,0,1623,17.4%,1866,20.0%,47,0.5%,7061,75.7%,103,1.1%,103,1.1%,NA,NA
02,185,North Slope,Alaska,AK,71.2906,-143.6257,6924,0,803,11.6%,1087,15.7%,76,1.1%,4985,72.0%,492,7.1%,270,3.9%,NA,NA
02,188,Northwest Arctic,Alaska,AK,68.0645,-156.8938,7621,0,1296,17.0%,998,13.1%,8,0.1%,6371,83.6%,76,1.0%,427,5.6%,NA,NA
02,220,Sitka,Alaska,AK,57.5153,-134.6617,8986,3,692,7.7%,6146,68.4%,36,0.4%,1806,20.1%,503,5.6%,350,3.9%,NA,NA
02,240,Southeast Fairbanks,Alaska,AK,64.7813,-141.1138,6614,0,1038,15.7%,5410,81.8%,185,2.8%,761,11.5%,53,0.8%,218,3.3%,NA,NA
02,261,Valdez-Cordova,Alaska,AK,63.011,-142.0341,9899,0,901,9.1%,7602,76.8%,49,0.5%,1445,14.6%,416,4.2%,238,2.4%,NA,NA
02,282,Yakutat,Alaska,AK,59.5665,-139.5966,722,0,78,10.8%,417,57.8%,1,0.1%,293,40.6%,5,0.7%,6,0.8%,NA,NA
02,290,Yukon-Koyukuk,Alaska,AK,68.1421,-143.7822,6143,0,1075,17.5%,1652,26.9%,6,0.1%,4294,69.9%,31,0.5%,80,1.3%,NA,NA
04,001,Apache,Arizona,AZ,36.9669,-109.0528,69343,6,19069,27.5%,15394,22.2%,416,0.6%,52770,76.1%,208,0.3%,3190,4.6%,17058,24.6%
04,003,Cochise,Arizona,AZ,32.3249,-109.1414,126106,20,20555,16.3%,113622,90.1%,5549,4.4%,1639,1.3%,2648,2.1%,38841,30.8%,30013,23.8%
04,005,Coconino,Arizona,AZ,36.9633,-110.7069,123866,7,19323,15.6%,81875,66.1%,1610,1.3%,37036,29.9%,1486,1.2%,14368,11.6%,20438,16.5%
04,007,Gila,Arizona,AZ,34.4018,-110.0328,51663,11,8834,17.1%,43139,83.5%,362,0.7%,7543,14.6%,310,0.6%,8421,16.3%,12657,24.5%
04,009,Graham,Arizona,AZ,33.1806,-109.5381,33073,7,6780,20.5%,26591,80.4%,728,2.2%,5391,16.3%,232,0.7%,9194,27.8%,7871,23.8%
04,011,Greenlee,Arizona,AZ,33.189,-109.0721,7521,4,842,11.2%,7235,96.2%,60,0.8%,143,1.9%,38,0.5%,3490,46.4%,NA,NA
04,012,La Paz,Arizona,AZ,34.2803,-113.5433,20238,4,3481,17.2%,17040,84.2%,202,1.0%,2671,13.2%,121,0.6%,4614,22.8%,4452,22.0%
04,013,Maricopa,Arizona,AZ,33.9838,-111.3899,3635528,395,465348,12.8%,3235620,89.0%,156328,4.3%,79982,2.2%,105430,2.9%,1043397,28.7%,723470,19.9%
04,015,Mohave,Arizona,AZ,36.9774,-112.7237,187200,14,27893,14.9%,176342,94.2%,1872,1.0%,4680,2.5%,2059,1.1%,23962,12.8%,46800,25.0%
04,017,Navajo,Arizona,AZ,36.7144,-109.8614,108432,11,23204,21.4%,52590,48.5%,1193,1.1%,52915,48.8%,434,0.4%,9434,8.7%,27216,25.1%
04,019,Pima,Arizona,AZ,32.4849,-110.4663,924786,101,132244,14.3%,820285,88.7%,31443,3.4%,33292,3.6%,24044,2.6%,292232,31.6%,182183,19.7%
04,021,Pinal,Arizona,AZ,33.3985,-110.6415,229549,43,33514,14.6%,199478,86.9%,8034,3.5%,16987,7.4%,2525,1.1%,67947,29.6%,61290,26.7%
04,023,Santa Cruz,Arizona,AZ,31.6968,-110.5346,42009,34,8066,19.2%,41043,97.7%,252,0.6%,336,0.8%,336,0.8%,33775,80.4%,8402,20.0%
04,025,Yavapai,Arizona,AZ,35.5142,-111.796,198701,24,23844,12.0%,189958,95.6%,1391,0.7%,3378,1.7%,1590,0.8%,22851,11.5%,31792,16.0%
04,027,Yuma,Arizona,AZ,33.0164,-113.3488,181277,33,32630,18.0%,168588,93.0%,4894,2.7%,3444,1.9%,2538,1.4%,98977,54.6%,46588,25.7%
05,001,Arkansas,Arkansas,AR,34.5257,-91.1373,20073,20,3473,17.3%,14974,74.6%,4918,24.5%,20,0.1%,80,0.4%,221,1.1%,6162,30.7%
05,003,Ashley,Arkansas,AR,33.3657,-91.4912,23178,25,4126,17.8%,16526,71.3%,6443,27.8%,23,0.1%,70,0.3%,881,3.8%,7000,30.2%
05,005,Baxter,Arkansas,AR,36.4778,-92.2277,40330,73,5525,13.7%,39523,98.0%,121,0.3%,202,0.5%,161,0.4%,403,1.0%,9155,22.7%
05,007,Benton,Arkansas,AR,36.4854,-93.9156,186938,221,18694,10.0%,175348,93.8%,2056,1.1%,2991,1.6%,3552,1.9%,23554,12.6%,40192,21.5%
05,009,Boone,Arkansas,AR,36.4717,-92.9056,35793,61,5476,15.3%,34970,97.7%,107,0.3%,251,0.7%,143,0.4%,537,1.5%,8483,23.7%
05,011,Bradley,Arkansas,AR,33.6113,-92.0678,12192,19,2475,20.3%,8681,71.2%,3438,28.2%,37,0.3%,12,0.1%,1244,10.2%,3072,25.2%
05,013,Calhoun,Arkansas,AR,33.7756,-92.3533,112141,184,18391,16.4%,87806,78.3%,22092,19.7%,449,0.4%,897,0.8%,2243,2.0%,NA,NA
05,015,Carroll,Arkansas,AR,36.4966,-93.3977,26999,43,4158,15.4%,26270,97.3%,81,0.3%,189,0.7%,189,0.7%,3645,13.5%,5670,21.0%
05,017,Chicot,Arkansas,AR,33.5271,-91.2134,13027,20,3635,27.9%,5888,45.2%,7022,53.9%,0,0.0%,78,0.6%,521,4.0%,2853,21.9%
05,019,Clark,Arkansas,AR,34.2662,-93.0689,22916,26,3942,17.2%,17256,75.3%,5110,22.3%,115,0.5%,252,1.1%,894,3.9%,4767,20.8%
05,021,Clay,Arkansas,AR,36.4834,-90.0951,13964,23,1955,14.0%,11758,84.2%,2095,15.0%,42,0.3%,14,0.1%,293,2.1%,4147,29.7%
05,023,Cleburne,Arkansas,AR,35.6959,-91.7985,14460,26,2024,14.0%,13780,95.3%,549,3.8%,43,0.3%,29,0.2%,260,1.8%,3629,25.1%
05,025,Cleveland,Arkansas,AR,34.0445,-91.9985,8903,15,1264,14.2%,7630,85.7%,1202,13.5%,36,0.4%,9,0.1%,160,1.8%,2386,26.8%
05,027,Columbia,Arkansas,AR,33.3528,-93.0527,24695,32,5013,20.3%,15385,62.3%,9038,36.6%,74,0.3%,99,0.4%,395,1.6%,5877,23.8%
05,029,Conway,Arkansas,AR,35.4215,-92.5544,20739,37,3422,16.5%,17732,85.5%,2592,12.5%,104,0.5%,104,0.5%,498,2.4%,5496,26.5%
05,031,Craighead,Arkansas,AR,35.9115,-90.3224,86735,122,13791,15.9%,76587,88.3%,8413,9.7%,347,0.4%,607,0.7%,2689,3.1%,25240,29.1%
05,033,Crawford,Arkansas,AR,35.6815,-94.0729,57630,97,8183,14.2%,53826,93.4%,634,1.1%,1210,2.1%,807,1.4%,2651,4.6%,12160,21.1%
05,035,Crittenden,Arkansas,AR,35.4131,-90.1991,51882,85,11673,22.5%,25526,49.2%,25630,49.4%,156,0.3%,311,0.6%,986,1.9%,15565,30.0%
05,037,Cross,Arkansas,AR,35.403,-90.5528,19237,31,3770,19.6%,14524,75.5%,4501,23.4%,58,0.3%,77,0.4%,212,1.1%,5810,30.2%
05,039,Dallas,Arkansas,AR,34.1337,-92.4174,44366,45,11092,25.0%,14375,32.4%,29681,66.9%,44,0.1%,133,0.3%,266,0.6%,NA,NA
05,041,Desha,Arkansas,AR,34.0609,-91.0232,14358,19,3331,23.2%,7481,52.1%,6720,46.8%,43,0.3%,57,0.4%,546,3.8%,3948,27.5%
05,043,Drew,Arkansas,AR,33.7741,-91.4518,18693,23,3440,18.4%,13309,71.2%,5141,27.5%,37,0.2%,93,0.5%,486,2.6%,4038,21.6%
05,045,Faulkner,Arkansas,AR,35.3272,-92.124,97147,150,12435,12.8%,85781,88.3%,9035,9.3%,486,0.5%,777,0.8%,2429,2.5%,22927,23.6%
05,047,Franklin,Arkansas,AR,35.6876,-93.7305,30737,48,5348,17.4%,28924,94.1%,1291,4.2%,123,0.4%,184,0.6%,3289,10.7%,8422,27.4%
05,049,Fulton,Arkansas,AR,36.4924,-91.5413,11934,19,2172,18.2%,11707,98.1%,36,0.3%,72,0.6%,24,0.2%,84,0.7%,3294,27.6%
05,051,Garland,Arkansas,AR,34.7012,-92.8106,93551,138,14968,16.0%,83541,89.3%,7391,7.9%,655,0.7%,561,0.6%,3087,3.3%,20862,22.3%
05,053,Grant,Arkansas,AR,34.441,-92.3154,17348,27,1891,10.9%,16619,95.8%,538,3.1%,87,0.5%,35,0.2%,295,1.7%,5482,31.6%
05,055,Greene,Arkansas,AR,36.2431,-90.3562,9661,15,2406,24.9%,1923,19.9%,7700,79.7%,10,0.1%,19,0.2%,68,0.7%,2850,29.5%
05,057,Hempstead,Arkansas,AR,34.0034,-93.5341,23383,32,4443,19.0%,16088,68.8%,6804,29.1%,94,0.4%,117,0.5%,2806,12.0%,5705,24.4%
05,059,Hot Spring,Arkansas,AR,34.4492,-92.7102,31264,51,4690,15.0%,27481,87.9%,3189,10.2%,156,0.5%,94,0.3%,531,1.7%,8785,28.1%
05,061,Howard,Arkansas,AR,34.279,-93.8516,14552,25,2285,15.7%,11321,77.8%,3012,20.7%,73,0.5%,73,0.5%,1281,8.8%,3798,26.1%
05,063,Independence,Arkansas,AR,35.8658,-91.3435,34737,45,5176,14.9%,33174,95.5%,729,2.1%,139,0.4%,347,1.0%,868,2.5%,9344,26.9%
05,065,Izard,Arkansas,AR,36.2217,-91.7057,13430,23,2431,18.1%,13000,96.8%,201,1.5%,107,0.8%,27,0.2%,148,1.1%,3828,28.5%
05,067,Jackson,Arkansas,AR,35.8244,-91.0755,53650,50,7779,14.5%,49680,92.6%,2039,3.8%,858,1.6%,161,0.3%,858,1.6%,16632,31.0%
05,069,Jefferson,Arkansas,AR,34.4445,-91.7451,657229,591,94641,14.4%,373306,56.8%,270778,41.2%,1314,0.2%,7230,1.1%,15116,2.3%,180081,27.4%
05,071,Johnson,Arkansas,AR,35.7309,-93.2418,24042,36,4111,17.1%,23008,95.7%,433,1.8%,168,0.7%,168,0.7%,2236,9.3%,4881,20.3%
05,073,Lafayette,Arkansas,AR,33.3643,-93.4357,8027,15,1646,20.5%,5065,63.1%,2898,36.1%,32,0.4%,24,0.3%,128,1.6%,NA,NA
05,075,Lawrence,Arkansas,AR,36.2417,-90.8663,34605,50,4983,14.4%,27511,79.5%,4187,12.1%,1869,5.4%,35,0.1%,484,1.4%,9897,28.6%
05,077,Lee,Arkansas,AR,34.8909,-90.5923,123254,202,18611,15.1%,91331,74.1%,28348,23.0%,247,0.2%,2219,1.8%,1972,1.6%,NA,NA
05,079,Lincoln,Arkansas,AR,34.079,-91.564,14262,25,3337,23.4%,9427,66.1%,4692,32.9%,57,0.4%,14,0.1%,257,1.8%,NA,NA
05,081,Little River,Arkansas,AR,33.8308,-94.0108,13227,25,2037,15.4%,10053,76.0%,2804,21.2%,159,1.2%,26,0.2%,265,2.0%,2923,22.1%
05,083,Logan,Arkansas,AR,35.3827,-93.2988,22944,32,3763,16.4%,21957,95.7%,298,1.3%,161,0.7%,184,0.8%,367,1.6%,6768,29.5%
05,085,Lonoke,Arkansas,AR,35.013,-91.7361,60658,79,6551,10.8%,55502,91.5%,3943,6.5%,303,0.5%,364,0.6%,1395,2.3%,14073,23.2%
05,087,Madison,Arkansas,AR,36.2373,-93.5185,298192,370,32503,10.9%,213804,71.7%,70075,23.5%,2386,0.8%,6262,2.1%,6560,2.2%,66795,22.4%
05,089,Marion,Arkansas,AR,36.4609,-92.571,30154,41,5066,16.8%,28646,95.0%,1176,3.9%,90,0.3%,60,0.2%,452,1.5%,6966,23.1%
05,091,Miller,Arkansas,AR,33.4818,-93.7142,43162,69,7683,17.8%,32156,74.5%,10100,23.4%,302,0.7%,173,0.4%,820,1.9%,13380,31.0%
05,093,Mississippi,Arkansas,AR,35.9644,-89.7412,47911,53,10684,22.3%,30615,63.9%,16338,34.1%,144,0.3%,192,0.4%,1294,2.7%,14038,29.3%
